User_ID,User_Name,Platform,Date,State,Region,Content_ID,Followers,Views,Likes,Shares,Comments,Revenue_Source,Revenue
USRP0IEW1,David Martinez,YouTube,2020,Wyoming,East,CNT5U1BEA,3228477,3182696,897734,152879,139461,Patreon,44086
USRXLEE13,Sarah Garcia,Facebook,2020,Ohio,South,CNT1923TN,3760157,1768033,1436678,407221,129382,Guest Appearance,461836
USRWV4VFS,Laura Jones,Snapchat,2024,Illinois,Central,CNT4IOJL4,1355969,9738541,53799,411490,99250,Patreon,317262
USRYCXCB4,Emma Miller,Snapchat,2022,Georgia,North,CNTUJ0KIK,1065475,8770903,1031096,129864,63233,Sponsorship,227970
USRJJ9FAV,Alex Johnson,Snapchat,2023,New York,West,CNTDPYTWD,650364,1358269,435910,117377,80810,Patreon,25210
USRCA9GWP,Alex Wilson,Twitter/X,2021,Colorado,Central,CNT5ROK6Q,2241114,4719198,1504268,446141,68711,Sponsorship,110369
USRG23NX3,Emily Johnson,Snapchat,2024,Oregon,North,CNTI1IXXR,1314429,2400353,1793352,359949,60316,Sponsorship,407104
USRADS02G,Michael Smith,Snapchat,2020,Missouri,South,CNTJCXIP9,4851532,6603777,963194,316808,49369,Patreon,248757
USRQVVJAW,John Garcia,Snapchat,2022,Alabama,East,CNTNKS84B,4607661,8679165,878380,249653,176186,Guest Appearance,72487
USRXARY4N,Jane Brown,Facebook,2023,Vermont,Central,CNT7NIF5N,1882213,7647305,622881,292567,196250,Patreon,34691
USRTCXR03,Alex Garcia,YouTube,2023,Iowa,West,CNTA47EE1,154858,4679058,459206,175271,170311,Patreon,190507
USR1JHRTG,John Martinez,Instagram,2022,Washington,East,CNTO2Q8O6,883291,3344481,369374,267126,78339,Collaboration,17487
USR7WWGNV,John Johnson,Snapchat,2023,New York,Central,CNTJXWEMO,1636238,4480663,902437,182230,169041,Sponsorship,317307
USRTJXQHO,Sarah Brown,Instagram,2024,South Dakota,South,CNTFJ9OYK,792671,7094928,879710,343002,136826,Sponsorship,132269
USR87TTAV,Laura Davis,Facebook,2022,South Carolina,East,CNTWAMVIM,4054008,1993317,551581,352948,129255,Sponsorship,102810
USRAHR4PS,Sarah Miller,Snapchat,2024,Alaska,South,CNTQD8PIL,1178702,1268731,1377964,121419,15334,Guest Appearance,333232
USRYVBWNC,Emily Martinez,YouTube,2024,Nevada,Central,CNTWDD40V,4768797,20627,849826,242140,133739,Patreon,64592
USR7LJ2XU,Jane Martinez,Snapchat,2022,Arkansas,South,CNTOXJNP2,4322406,5583138,1994634,267520,127362,Collaboration,323019
USRRLI8LL,David Johnson,Instagram,2024,Illinois,South,CNTDY6KTP,4911174,9126660,817875,95486,177839,Sponsorship,271455
USR1B3ZC5,Michael Davis,Snapchat,2020,Georgia,West,CNTZ1TDX9,3738621,906297,1871870,70352,106679,Patreon,128889
USRI4AK6O,Emma Davis,Facebook,2024,New Mexico,Central,CNT5QHBP7,1225409,5400299,624332,4056,130087,Guest Appearance,239591
USR31WZRB,Laura Martinez,YouTube,2024,Idaho,West,CNT8HTUOE,1501464,4267437,130169,266098,151029,Consultancy,407664
USRAHXKC8,Chris Davis,Twitter/X,2022,Kentucky,West,CNTESJ3Z5,1662659,7061698,1349481,106241,28748,Collaboration,446961
USRGCMBTM,Jane Wilson,Instagram,2023,New Hampshire,South,CNT5VEF82,2660243,6022836,783177,96413,61736,Sponsorship,329268
USRI9RZ10,Chris Johnson,Facebook,2024,Michigan,South,CNT9PJCAV,4501069,5315266,1249392,421979,34243,Guest Appearance,129083
USRNH5STY,Emily Martinez,Instagram,2023,Oklahoma,East,CNT138NVU,1197189,3410042,1868943,142265,173098,Collaboration,388746
USRC7H7L9,Michael Miller,Snapchat,2024,Maryland,West,CNT0H05ON,804407,9009829,966193,432462,133391,Collaboration,95067
USRH52M0I,Chris Smith,Twitter/X,2020,North Carolina,Central,CNTE678LD,3159232,6673822,1211422,6936,142210,Sponsorship,288392
USRBGL9QP,Sarah Davis,Facebook,2023,New Mexico,North,CNT04ULQ4,4126659,3644229,1844137,364531,116774,Patreon,455482
USRYZ88NT,Emma Garcia,Facebook,2022,New Hampshire,West,CNTIFAPR5,801266,7985867,1960942,57811,184009,Sponsorship,220507
USR5BWDTE,Sarah Davis,YouTube,2022,California,East,CNT950CAE,3774283,5316837,1846975,328687,158524,Guest Appearance,363252
USRE1PAKL,Jane Wilson,Snapchat,2023,Rhode Island,North,CNTI491E2,49737,9145055,1058753,356692,143144,Consultancy,221333
USRSDF0WU,Chris Wilson,Snapchat,2023,Illinois,West,CNT347FDN,873049,3681016,1733677,297573,83141,Collaboration,74677
USRGOOOD0,David Jones,Snapchat,2020,Connecticut,East,CNT1CF4M4,2236665,2141806,830255,226894,178252,Guest Appearance,62347
USRI4CUGH,Chris Brown,Snapchat,2023,Washington,North,CNTA7KQAH,3294254,1079201,1620455,282511,197579,Guest Appearance,457999
USRC34OUU,Michael Davis,Twitter/X,2024,South Carolina,North,CNT8IOHRC,2410883,4990647,1489501,446482,51868,Consultancy,409644
USRQ5K81I,Sarah Johnson,Instagram,2021,South Carolina,West,CNTYZ9BCK,2422687,6003377,554840,408208,143801,Consultancy,171841
USR6ISC55,Chris Garcia,Instagram,2021,Arizona,Central,CNTNYZHTO,1842238,8942369,1957408,495529,71850,Patreon,460679
USRY51LH1,Jane Davis,YouTube,2021,Pennsylvania,North,CNTML8AVP,3146395,4532852,1685434,316249,138546,Sponsorship,329565
USR5KUIJL,Chris Jones,Instagram,2022,Texas,North,CNTELW69T,3410682,851506,455959,411676,63322,Sponsorship,134618
USR8SKAWR,Emily Wilson,Twitter/X,2020,Virginia,West,CNTC85K76,3183561,4391775,1207336,368786,24717,Collaboration,80139
USRQZ7MIP,Michael Davis,YouTube,2024,Texas,East,CNT02SPJ6,725678,247148,1024028,482261,104210,Collaboration,462663
USR0OGK97,John Smith,Twitter/X,2021,South Dakota,Central,CNTCORFAR,3606206,1467659,1365196,232704,157880,Sponsorship,216240
USRS063KD,Michael Miller,YouTube,2022,Maine,West,CNTOBFQ13,1624870,1692253,1420553,360084,149082,Guest Appearance,267013
USRPBPNHS,John Brown,Facebook,2024,Rhode Island,East,CNT2Q6W32,1734565,7426503,1743568,215609,27055,Collaboration,297364
USR14LPW6,Emily Johnson,YouTube,2021,Washington,Central,CNT87NZG0,3828782,8330905,381906,39126,136932,Guest Appearance,21462
USRRZR31B,Emily Martinez,Twitter/X,2023,Missouri,West,CNTG0TI2P,58051,8714099,304235,161939,12841,Patreon,343115
USRO7GWEJ,Jane Wilson,Snapchat,2021,Connecticut,Central,CNTPXETUK,4861488,5363272,1139168,263983,136134,Sponsorship,461686
USR7JB7AX,Alex Johnson,Facebook,2022,Oregon,West,CNTO6FQQ7,4310897,6857299,1823221,468590,145745,Sponsorship,272119
USRVLIA08,Alex Miller,Twitter/X,2024,Iowa,South,CNTUVCGPM,4974979,9745112,256132,227815,68141,Sponsorship,200944
USRRT6ORU,Laura Garcia,Instagram,2024,New York,South,CNT80FXSK,952791,4181919,575584,97348,90188,Guest Appearance,354030
USR0DRLPZ,John Martinez,Instagram,2023,New Mexico,South,CNTMWAWYB,2513794,8068529,35532,135346,120341,Collaboration,355887
USREMULXM,Laura Williams,Instagram,2020,Nebraska,East,CNTDOFX13,2044553,3123951,1225510,137815,105503,Consultancy,48695
USRILJDS7,Emma Smith,Twitter/X,2022,Maine,North,CNTCVG5PU,3003918,7322277,468980,44309,94077,Consultancy,490232
USR2BX3ZQ,Chris Brown,Facebook,2024,Mississippi,Central,CNT0W7PT0,2340338,6553836,1065691,298984,129924,Guest Appearance,306438
USRGEGOSZ,David Martinez,Instagram,2024,Maryland,West,CNTEQEZON,407115,2042239,370961,455325,62737,Patreon,5000
USRG76DXA,Emily Smith,Facebook,2021,Massachusetts,East,CNTUN162G,4162793,2699738,1713664,472658,102844,Collaboration,219783
USRPV9YUS,Michael Smith,Snapchat,2020,Georgia,West,CNTHZH7N5,3216564,841594,1831997,186682,129781,Consultancy,367156
USRC5HCHU,John Miller,Snapchat,2021,Minnesota,South,CNTZ9SH79,976404,1375803,1236088,489032,37035,Guest Appearance,482496
USRYX12OE,Emma Miller,Facebook,2022,West Virginia,East,CNT4MCEUP,3129919,206425,1863789,96993,74874,Consultancy,429215
USRE8Q4T0,David Williams,Facebook,2023,Iowa,North,CNT5TIBFG,899382,6879094,1314271,245198,143424,Sponsorship,126494
USRKN1ZH5,Jane Davis,Instagram,2021,Mississippi,East,CNTE8EE5I,3074849,3452292,1714189,163015,159724,Guest Appearance,163653
USRNS5H2S,Jane Jones,Instagram,2021,Washington,West,CNT4MAWKK,2533657,2971788,1142823,462042,120003,Sponsorship,478799
USRGDKSNV,John Davis,Instagram,2024,New Hampshire,South,CNTTIR4QU,4129885,6627914,820280,484339,114186,Sponsorship,54491
USREXT0JK,John Jones,Instagram,2023,North Carolina,Central,CNTAHCOWG,135162,3646211,742245,309514,80230,Guest Appearance,257118
USRUDKRYK,Alex Wilson,Instagram,2023,Arizona,East,CNT0OLG0L,4961498,899924,1323576,240049,142168,Consultancy,469248
USRY1ZX3E,Emma Davis,Snapchat,2021,Virginia,North,CNT1FHLQY,2001815,6540654,1629505,416073,159694,Consultancy,250320
USRR8GP5C,Emily Wilson,Snapchat,2024,Delaware,Central,CNTG81T2L,4497333,2018994,1282681,337111,162295,Guest Appearance,380571
USRXQ2URV,Michael Williams,Snapchat,2021,Tennessee,West,CNTMKLFN3,4413297,5617303,1979411,23329,84294,Collaboration,325737
USRZ9V3R5,John Johnson,YouTube,2021,Indiana,West,CNTGZMX7L,2359627,9937112,843224,271392,154455,Patreon,459081
USRG17ZJU,Emily Smith,Instagram,2024,Missouri,East,CNTOKKLZR,3715548,8304938,923569,404991,22330,Guest Appearance,203772
USR7LDJO2,Emily Williams,YouTube,2021,Virginia,North,CNTYK9NRK,2414310,2976749,1739490,257861,176591,Consultancy,339635
USR5B2SFZ,David Williams,Facebook,2023,Kansas,West,CNTKC1XC7,2554349,4191861,1851335,159948,20792,Patreon,496245
USRQ2K544,Alex Brown,YouTube,2024,Missouri,East,CNTY49DUO,4319970,6696262,1782135,128085,137589,Consultancy,338217
USR26XTKH,Jane Williams,Facebook,2021,North Dakota,North,CNT0GGH6O,82942,9759404,1482262,210479,174362,Guest Appearance,39610
USR00AY34,Emily Martinez,YouTube,2021,Wisconsin,East,CNTIDJCNV,1812190,2276208,1946102,145248,171676,Patreon,474928
USRS8W5FX,Alex Jones,YouTube,2024,Vermont,East,CNT9YGXK1,1188394,6395142,1906862,58800,68252,Patreon,482183
USR13I11Q,Alex Wilson,YouTube,2021,Hawaii,South,CNTDMUDOD,2348469,6705703,478300,448463,107808,Collaboration,385878
USRXVSVD3,Emily Johnson,Facebook,2023,Arizona,West,CNTQBBJ4C,4892411,9478706,219475,221570,114412,Sponsorship,275455
USRRUYUYG,David Wilson,YouTube,2023,Illinois,South,CNTWFM9MH,2005345,457430,608286,41947,20582,Patreon,432271
USR6MYQEW,David Miller,Twitter/X,2021,Mississippi,North,CNT290Q51,3144779,3827684,546484,324591,25132,Consultancy,454024
USRI4SSYY,Emily Williams,Twitter/X,2022,Tennessee,East,CNT2UOPR1,2464302,5920471,1371904,355535,35069,Guest Appearance,227745
USR63OQTZ,Jane Smith,Twitter/X,2023,Montana,West,CNTVFOEOK,3910993,9129676,1622175,143870,151063,Consultancy,127605
USRLLGZ48,Alex Smith,Facebook,2020,Virginia,North,CNTOZJC66,2479738,8461469,1713870,323699,33020,Collaboration,284658
USR95T8ND,Alex Martinez,YouTube,2021,Utah,East,CNTL3RVNJ,4719173,3074523,293165,472237,94615,Consultancy,135377
USREVJ07D,Jane Johnson,Twitter/X,2022,West Virginia,East,CNT28K3GD,347027,9728429,749572,198182,190695,Collaboration,4918
USRA2QDED,John Miller,Twitter/X,2021,Hawaii,Central,CNTWL7HPQ,1612553,450267,676913,413385,54399,Sponsorship,357528
USRTX25H1,Chris Martinez,Snapchat,2023,Rhode Island,North,CNTVXU3YD,226474,1595029,1978535,417278,114411,Patreon,47410
USRJJS3CY,Emma Wilson,Twitter/X,2021,Maine,East,CNTG2JXMH,3142217,3095756,1945543,377702,194984,Collaboration,350027
USRRZY4RA,Jane Martinez,Instagram,2024,Minnesota,Central,CNTML0OC5,1812502,9328600,330378,346101,153171,Patreon,424545
USRIFYKSA,John Johnson,YouTube,2023,Texas,North,CNT5GPJU7,483895,733852,1593871,182736,44139,Consultancy,317318
USR0K09A5,Laura Miller,YouTube,2024,Texas,East,CNT9NL6PY,2570339,3089867,974014,180084,75548,Consultancy,215999
USRWHL69Y,Alex Davis,Twitter/X,2023,Georgia,North,CNTF215OS,3949281,7291604,930869,422468,76523,Patreon,182038
USRFK8SX8,Chris Williams,Twitter/X,2020,Rhode Island,West,CNTRHVOVQ,3697085,2782830,87028,352183,108979,Guest Appearance,240721
USRFPPK6V,Emma Miller,Twitter/X,2020,Maine,West,CNT1S23Q5,3857124,9650521,576410,309666,195052,Collaboration,335385
USRQY0FPE,Laura Williams,Facebook,2020,North Dakota,South,CNTFWIXHH,1228705,6872857,1246118,371072,172099,Patreon,450376
USRKCNZQ5,John Williams,Facebook,2022,Iowa,East,CNT6JQCNO,2117166,5148365,261132,67657,116337,Collaboration,125504
USRFUMGGH,Chris Jones,Facebook,2024,Texas,Central,CNTSJRKEC,2981407,4492940,1417519,192878,21228,Consultancy,192578
USRJKNE6J,Sarah Martinez,YouTube,2024,Hawaii,North,CNTRAA7KJ,1815211,9204984,1469635,428664,42722,Collaboration,68865
USRGPFFEG,Chris Smith,Facebook,2024,Mississippi,North,CNTH925CJ,4965694,295470,1368906,341866,198525,Sponsorship,251779
USRWZSTNQ,Jane Smith,Twitter/X,2023,Ohio,Central,CNTYHCPAP,1359679,957420,1982696,183624,169358,Guest Appearance,35070
USR1AW7EL,David Garcia,Instagram,2024,Utah,North,CNTHWHSUJ,3790182,9574048,449970,472614,104133,Guest Appearance,235510
USRQ8VD0G,Chris Williams,Facebook,2020,Utah,South,CNT1RMII2,2174719,7621035,1638640,64742,60511,Consultancy,124883
USRKNONQQ,Alex Jones,Snapchat,2024,Idaho,North,CNTJ3QCWK,479578,6430835,1049925,21044,19897,Sponsorship,205259
USRTCR5L2,Emma Davis,Instagram,2021,Arizona,North,CNTPJL4PI,126924,6112702,548838,251087,21764,Sponsorship,155568
USR1ZSX68,Emma Martinez,Instagram,2024,Florida,South,CNT50G95R,2948561,6031160,1734284,55879,98539,Sponsorship,478071
USRVZHPAT,John Williams,Facebook,2024,Alaska,East,CNTL5PJIH,337214,533553,76765,98023,29812,Patreon,8247
USRJSAVCM,Emily Martinez,Twitter/X,2021,North Dakota,West,CNTGICP43,2941434,4844101,63607,342846,72025,Collaboration,97024
USR7ABU49,Emma Miller,Snapchat,2021,Tennessee,North,CNT3K8U3B,1894029,5353082,1471758,412158,167147,Consultancy,138004
USRVW4OJA,Laura Johnson,YouTube,2023,Oregon,Central,CNTIK888B,3990258,8104073,1549948,153097,111893,Collaboration,308814
USRLSHVOR,Michael Johnson,Twitter/X,2024,New York,North,CNT2ELWHY,2201659,6338334,1191674,185735,73316,Guest Appearance,295211
USRWTAEAD,Emily Martinez,YouTube,2023,West Virginia,East,CNTPNNSOE,498060,8334824,1665344,99063,151791,Guest Appearance,170852
USRPERSS5,Emily Miller,Facebook,2022,West Virginia,Central,CNTZOJWZZ,3592295,3380310,584439,152303,43856,Guest Appearance,109709
USRH7DU8D,Laura Smith,Facebook,2021,Colorado,East,CNTWCS3Z5,713443,3437197,291280,141826,10851,Consultancy,217511
USR7LGCI2,David Wilson,Snapchat,2024,Maryland,West,CNT3QZBWN,3410855,532237,102554,76264,55468,Sponsorship,235295
USR21AYJ4,Emily Garcia,Snapchat,2022,Massachusetts,East,CNTD0HQ4L,432541,4731552,1861344,370426,56719,Consultancy,410646
USRI4CQC4,Sarah Williams,Instagram,2021,Texas,North,CNTA363HQ,2345604,1181775,1850702,417190,178749,Patreon,213734
USR1HLNMF,Chris Johnson,Snapchat,2020,California,Central,CNTZD6C1X,3937257,8349318,1088723,269294,83156,Consultancy,462461
USRFF84DV,Laura Smith,Twitter/X,2023,Arizona,Central,CNTWZ6R64,88497,4601941,217354,57728,25913,Consultancy,143650
USRQ18M01,Sarah Brown,YouTube,2020,Oregon,South,CNT8OQ3C7,3313757,8569143,1072613,302864,72313,Guest Appearance,426894
USRR2GC1B,John Wilson,Facebook,2021,Georgia,South,CNTNJVA9I,2035036,114551,1415408,25598,104944,Sponsorship,130872
USRP16J3F,Sarah Martinez,YouTube,2024,South Carolina,East,CNTVL1TVZ,893947,9087779,384337,205113,19780,Collaboration,302050
USR7D2OHQ,Laura Williams,Twitter/X,2024,Texas,West,CNTTTH0OO,4866919,7940716,1926974,392628,79550,Collaboration,108564
USR0N7Z3W,David Williams,Snapchat,2020,Oklahoma,East,CNTPJGFQW,1138428,9382952,387772,126194,14096,Patreon,408789
USR4ADSQK,Emily Davis,Twitter/X,2024,South Dakota,North,CNT7PBLL4,4232400,7392015,1641298,368361,168776,Consultancy,89279
USRGNPJ60,Laura Jones,Snapchat,2020,Louisiana,Central,CNTYS9IQF,1428507,282252,530904,26759,98310,Consultancy,332073
USRZZV9HQ,Jane Jones,Twitter/X,2022,Utah,South,CNTGDP1AF,55924,8016679,799193,430095,96615,Consultancy,466437
USRAVQUWD,Emily Garcia,Twitter/X,2020,Nevada,West,CNT1ELYDZ,4823365,5996370,779550,415053,30328,Guest Appearance,199581
USRN5099W,Sarah Davis,Twitter/X,2020,New York,Central,CNTQGV5XD,4246034,1092994,566261,53082,21880,Guest Appearance,283643
USRJEHKII,Emma Garcia,Instagram,2021,Virginia,West,CNTDNHVWG,467947,7781188,602239,253939,59926,Collaboration,253328
USRIPJDB2,Chris Davis,YouTube,2023,Alaska,North,CNTLGMOVU,3104756,6126792,697174,360673,148874,Guest Appearance,216404
USRODIKR6,Alex Jones,Twitter/X,2022,Tennessee,West,CNTZ90APC,4831018,7974589,1469543,64642,17846,Collaboration,345268
USRR5A8Y2,Jane Smith,Twitter/X,2023,Washington,East,CNT80XTVQ,620168,7067646,1718477,441835,116896,Patreon,199963
USR5AHPVN,David Garcia,Twitter/X,2021,Alabama,Central,CNTSLAGLQ,3767684,651791,1079456,137141,189322,Guest Appearance,64475
USR4BA9HA,Laura Miller,Twitter/X,2023,Illinois,Central,CNTWN2CZX,2841748,3057631,806355,87514,191322,Guest Appearance,342669
USRP6U4RV,Alex Brown,Facebook,2020,Rhode Island,North,CNTER7C02,4867477,4711766,1830728,337470,169536,Consultancy,334698
USRHUTIR6,Laura Davis,Instagram,2024,Colorado,South,CNTS4OB2Z,3668465,902533,508497,456232,117580,Sponsorship,194211
USRZ2LIQ5,Michael Miller,Snapchat,2022,Ohio,North,CNT3FWICK,2959197,3103253,1733211,3707,1777,Consultancy,400389
USRLI2PF3,Chris Davis,Snapchat,2022,Tennessee,North,CNTSJ64TH,3827589,2930977,1618184,419230,132074,Collaboration,401750
USR8QFJQE,Chris Davis,Twitter/X,2020,Indiana,West,CNT8PRC1P,889406,5629791,1232293,76397,80917,Collaboration,152989
USROQLD4H,Sarah Smith,Facebook,2024,Texas,West,CNTGU8MEZ,2670135,6451620,623761,48132,42857,Patreon,221443
USRZ8BGEM,Alex Jones,YouTube,2023,Missouri,South,CNTRD99TM,1091932,4570400,695711,101115,14522,Consultancy,441680
USRMZYFIS,Michael Garcia,YouTube,2020,Oregon,North,CNTWWWZFX,1315006,459735,1044790,372583,104488,Collaboration,60921
USRN7VL57,Jane Williams,Instagram,2024,Oregon,North,CNTJP6WD6,1193264,7171958,1196123,455575,1400,Sponsorship,275247
USR74Z7HV,Laura Garcia,YouTube,2020,Kansas,South,CNTG9HJWR,4846616,8973764,1329557,321133,37603,Consultancy,376251
USRWQIJR3,Sarah Williams,YouTube,2022,Idaho,West,CNTE1SV9A,701033,372531,1184866,262805,143343,Consultancy,291784
USR8OHSB4,Alex Williams,YouTube,2020,California,North,CNTEHRBD8,2661653,3164885,762201,377173,46529,Patreon,344049
USR32W69W,John Johnson,YouTube,2024,Georgia,East,CNT791ANZ,437702,8565977,595767,325390,22861,Guest Appearance,100446
USR34PQR9,Alex Smith,Snapchat,2023,Hawaii,East,CNTAD5FHG,1127594,381372,871987,62860,199599,Patreon,347726
USR13QJ0A,Emma Wilson,Instagram,2022,Delaware,East,CNTXZM58P,3146762,699007,1183737,190389,181693,Consultancy,308923
USRZ7BB5J,Chris Davis,Instagram,2020,Texas,East,CNTGPA9F3,3288583,9193210,869050,290089,40255,Patreon,277906
USR7E9GJQ,Chris Brown,Twitter/X,2023,Texas,East,CNTM0BI4I,242724,3021494,1522603,37402,86935,Sponsorship,429094
USRG8R9YM,Michael Miller,Snapchat,2023,North Carolina,North,CNT919XCP,4956125,3637236,1884512,48955,196069,Patreon,40562
USRM2HIWJ,Emily Williams,Facebook,2022,Iowa,North,CNTB438S5,1324195,8797614,60014,165567,103132,Patreon,299661
USRRZSW6E,Michael Williams,Facebook,2020,Wisconsin,North,CNTKSYO6Y,884789,2100180,908917,223620,14523,Sponsorship,239076
USRQOTUMS,Laura Martinez,Facebook,2023,Virginia,East,CNTGGEECO,444213,352057,1413734,190462,67505,Patreon,364843
USRW6L4LJ,David Wilson,YouTube,2020,Connecticut,East,CNTIQKALP,2866823,7039700,496314,13894,157260,Consultancy,242581
USR4N9113,Laura Johnson,YouTube,2022,Connecticut,East,CNT2SD6EK,1225062,9031413,798860,200874,156592,Collaboration,355962
USRU36PP9,Laura Martinez,Snapchat,2022,Alaska,North,CNTP16C85,1917283,9518377,815936,480485,60218,Sponsorship,21343
USRH4GZQU,Alex Smith,Twitter/X,2024,Wisconsin,North,CNTMPJV1Z,456404,9558095,581160,423462,51432,Sponsorship,352633
USROGTSV3,David Smith,Facebook,2023,Nevada,West,CNTXB1KX2,4424041,2534622,353859,436595,44363,Sponsorship,409184
USRT0WZWJ,David Wilson,Facebook,2024,Kansas,Central,CNT875UTY,1277872,7293504,526626,46892,177182,Sponsorship,69836
USR83AOZP,Sarah Garcia,YouTube,2021,Missouri,Central,CNTXO8LPQ,4970648,6837688,900550,132151,54772,Sponsorship,25492
USRYQYCT7,David Miller,YouTube,2021,Mississippi,South,CNTA2M16M,3223586,9734489,453487,244227,74378,Sponsorship,165678
USR3YYW9A,Michael Garcia,Twitter/X,2022,Alabama,Central,CNTB1RAAF,2019371,4979260,1226527,488115,144012,Patreon,213478
USRP8WRM8,Laura Davis,Twitter/X,2020,Indiana,Central,CNTU33VYP,1920656,8607836,342023,142586,1243,Patreon,432472
USRG7AXIN,Alex Williams,Facebook,2020,Alaska,East,CNTV0P0I7,24043,6239697,1303278,349092,25367,Guest Appearance,99186
USRC2F7BS,Emma Johnson,Instagram,2023,Washington,West,CNT1IEQXW,4004147,463541,295485,392730,27939,Sponsorship,140599
USR24W68F,Laura Johnson,Twitter/X,2021,Georgia,Central,CNTMEGE73,4208575,8985596,1915863,404727,123454,Consultancy,477092
USRSSUD6W,Emma Martinez,Facebook,2024,North Dakota,West,CNTNKFEKA,4942922,2138350,177840,102250,157563,Consultancy,298399
USR2BPRI6,Jane Williams,Instagram,2020,Oklahoma,East,CNT1KCA8F,3098722,1033756,184668,156362,136658,Guest Appearance,341176
USR1VVEBI,Michael Miller,YouTube,2024,Nebraska,Central,CNT7WMYDQ,2144436,9479886,1667788,277692,63071,Consultancy,430361
USRHYPKEK,John Miller,Twitter/X,2020,Texas,Central,CNTBCT1V1,4527715,5445463,873552,91090,100837,Guest Appearance,162479
USRF6KGYI,Emma Johnson,Twitter/X,2022,Nebraska,Central,CNT0SCEDG,1229033,8272837,1703893,301742,78014,Sponsorship,362627
USR9RXKJV,Alex Brown,Snapchat,2024,Rhode Island,North,CNTA72G67,1852519,3327467,54974,451848,48060,Sponsorship,388900
USRLY8A6Z,John Miller,Facebook,2024,Maine,East,CNTYLIAZY,3541631,7757973,472306,221518,73848,Consultancy,157600
USR7QVJLG,Emma Jones,Twitter/X,2024,Louisiana,East,CNTJLS2MO,1853650,9228240,1981739,123378,126574,Consultancy,208326
USR4QBZXO,Alex Miller,Instagram,2024,Mississippi,West,CNTBP2SJ8,4553408,9652829,216818,388099,146346,Consultancy,299264
USR9DI7WO,Laura Williams,Instagram,2020,Mississippi,North,CNTL23U5T,1463757,5485132,1898962,456974,126106,Sponsorship,43756
USRGQRAXW,Sarah Williams,Instagram,2022,Iowa,Central,CNTY4KLSG,2046579,2977273,941026,358906,133340,Guest Appearance,496878
USRBCNCW4,Emma Garcia,Facebook,2021,Texas,South,CNTUWDFMO,1026005,5532629,339849,396882,152322,Collaboration,84100
USRACFSIN,Emma Williams,Twitter/X,2022,New Mexico,North,CNTGFHS0D,733931,1506754,852730,353299,115507,Sponsorship,262740
USRVMNZZ2,John Davis,Twitter/X,2023,Pennsylvania,North,CNTHQLSXS,1122125,7315889,775605,393473,70722,Patreon,61802
